condenser,chip,coolant_setpoint_C,q_Wcm2,Q_W,Tsurf_C,Tsat_C,Tliq_C,Tin_C,Tout_C,P_kPa,flow
42-tube,microchannel,20,5.7477,63.4546,42.018,49.0,22.0,20.0,20.7,88.0,0.041
42-tube,microchannel,20,8.602,94.9661,42.68,49.0,23.0,20.0,20.8,88.0,0.041
42-tube,microchannel,20,12.7466,140.7225,44.544,49.0,25.0,20.0,21.1,88.0,0.041
42-tube,microchannel,20,15.8355,174.8239,46.27,49.0,27.428,20.0,21.4,88.0,0.041
42-tube,microchannel,20,20.9576,231.3719,48.784,52.0,28.9815,20.0,21.8,85.0,0.041
42-tube,microchannel,20,25.5949,282.5673,51.7724,49.0,32.0253,20.0,22.0,88.0,0.041
42-tube,microchannel,20,30.3416,334.9713,54.914,49.0,36.1697,20.0,22.4,88.0,0.041
42-tube,microchannel,20,37.3014,411.8075,58.276,52.0,38.5946,20.0,22.84,85.0,0.041
42-tube,microchannel,20,45.051,497.3633,61.0868,52.0,40.9029,20.0,23.3,85.0,0.041
42-tube,microchannel,20,49.9307,551.2349,64.138,52.0,43.181,20.0,23.9,85.0,0.041
42-tube,microchannel,20,60.605,669.0792,66.7,52.0,46.8057,20.0,24.25,85.0,0.041
42-tube,microchannel,20,68.0027,750.75,69.5648,52.0,49.754,20.0,25.1,85.0,0.041
42-tube,microchannel,20,75.1502,829.6582,72.468,52.0,53.6467,20.0,25.4,85.0,0.041
42-tube,microchannel,20,85.0034,938.4375,73.956,52.0,57.0819,20.0,26.02,85.0,0.041
42-tube,microchannel,20,95.795,1057.5768,77.3,52.0,63.9035,20.0,27.2,85.0,0.041
42-tube,microchannel,20,103.8105,1146.0679,82.04,52.0,66.9384,20.0,27.6,85.0,0.041
42-tube,microchannel,30,6.4206,70.8839,43.062,58.0,33.5255,29.9133,30.631,81.0,0.0388
42-tube,microchannel,30,9.0181,99.5594,45.6893,65.0,34.8767,29.9008,30.9094,74.0,0.0388
42-tube,microchannel,30,12.0485,133.0158,48.7592,68.0,36.3125,29.9188,31.1776,71.0,0.0388
42-tube,microchannel,30,15.3983,169.9978,51.6199,70.6,38.0033,29.9974,31.5642,67.0,0.0388
42-tube,microchannel,30,19.803,218.6254,54.4308,78.0,39.7344,29.9798,31.9001,55.0,0.0388
42-tube,microchannel,30,25.0273,276.301,57.7578,78.0,41.8789,30.0115,32.3691,55.0,0.0388
42-tube,microchannel,30,28.4754,314.3682,60.638,78.0,43.7391,30.003,32.6401,55.0,0.0388
42-tube,microchannel,30,34.5054,380.94,64.3315,83.0,46.4444,29.9287,33.0266,45.0,0.0388
42-tube,microchannel,30,40.5347,447.5029,67.6269,83.0,49.0885,29.9781,33.5569,45.0,0.0388
42-tube,microchannel,30,46.3063,511.2213,71.1792,83.0,51.2959,29.8156,33.7681,45.0,0.0388
42-tube,microchannel,30,54.3279,599.7804,75.1707,87.0,54.2778,29.7245,34.2865,37.0,0.0388
42-tube,microchannel,30,63.7933,704.2777,82.6608,87.0,60.6949,29.6788,34.7741,37.0,0.0388
42-tube,microchannel,30,71.6265,790.7569,85.1355,90.0,62.3968,30.1374,35.9317,30.0,0.0388
42-tube,microchannel,30,79.396,876.5318,88.684,91.0,64.6589,30.0074,36.4013,27.0,0.0388
42-tube,microchannel,30,87.4157,965.069,91.253,94.0,67.115,29.942,37.054,20.0,0.0388
42-tube,microchannel,30,95.5787,1055.1885,93.3402,94.0,68.9323,29.8015,37.4836,13.0,0.0388
42-tube,microchannel,30,103.8698,1146.7228,95.5743,96.0,71.2269,29.8439,38.2617,10.0,0.0388
42-tube,microchannel,30,112.8732,1246.12,97.9403,96.0,73.7895,30.0956,39.4001,10.0,0.0388
42-tube,microchannel,30,121.4907,1341.2575,100.0941,98.0,75.7504,30.2991,40.2079,5.0,0.0388
42-tube,microchannel,40,6.926,76.4631,59.4662,58.0,52.2479,39.6519,40.2521,81.0,0.0388
42-tube,microchannel,40,10.5634,116.6197,62.0502,65.0,53.4787,39.9164,40.7617,74.0,0.0388
42-tube,microchannel,40,14.0602,155.2249,64.3897,68.0,54.8361,39.9438,41.1285,71.0,0.0388
42-tube,microchannel,40,18.8447,208.0453,66.8777,70.6,56.3292,39.9702,41.5056,67.0,0.0388
42-tube,microchannel,40,24.0532,265.5473,69.0833,78.0,57.9415,39.2191,41.139,55.0,0.0388
42-tube,microchannel,40,29.0118,320.2898,72.5363,78.0,60.3379,40.4661,42.709,55.0,0.0388
42-tube,microchannel,40,35.7478,394.6555,75.087,78.0,62.2186,39.9797,42.6601,55.0,0.0388
42-tube,microchannel,40,43.3908,479.0341,77.9915,83.0,64.6945,40.1153,43.2508,45.0,0.0388
42-tube,microchannel,40,50.1239,553.3683,80.18,83.0,66.8047,39.429,43.063,45.0,0.0388
42-tube,microchannel,40,58.0905,641.3194,82.5312,83.0,68.3972,39.9314,44.0933,45.0,0.0388
42-tube,microchannel,40,67.1133,740.9312,84.714,87.0,70.5916,40.1465,44.8671,37.0,0.0388
42-tube,microchannel,40,72.0,794.88,87.0553,87.0,72.1916,40.3158,45.5477,37.0,0.0388
42-tube,microchannel,40,76.0,839.04,90.2786,87.0,73.6277,40.4431,46.2925,37.0,0.0388
42-tube,microchannel,40,79.4442,877.0638,93.7109,90.0,75.8406,39.792,46.2708,30.0,0.0388
42-tube,microchannel,40,87.3851,964.7314,96.7475,91.0,77.8389,39.8626,47.0702,27.0,0.0388
42-tube,microchannel,40,96.7722,1068.3655,98.9803,94.0,79.8945,40.2593,48.2214,20.0,0.0388
42-tube,microchannel,40,105.6451,1166.3215,100.8466,94.0,81.6479,40.0009,48.6913,13.0,0.0388
42-tube,microchannel,40,113.627,1254.4423,102.6605,96.0,83.0697,39.9719,49.008,10.0,0.0388
42-tube,microchannel,50,5.7393,63.3619,64.0026,58.0,48.6132,49.8898,50.6238,81.0,0.0388
42-tube,microchannel,50,8.2903,91.525,72.537,65.0,54.1362,49.8167,50.8004,74.0,0.0388
42-tube,microchannel,50,12.8266,141.6058,75.9413,68.0,56.1374,49.7911,51.0087,71.0,0.0388
42-tube,microchannel,50,18.1884,200.8001,79.7499,70.6,59.673,49.8363,51.353,67.0,0.0388
42-tube,microchannel,50,22.7866,251.5646,87.1886,78.0,66.4476,49.8655,51.6627,55.0,0.0388
42-tube,microchannel,50,28.8111,318.0746,87.1092,78.0,72.0335,50.115,52.2835,55.0,0.0388
42-tube,microchannel,50,35.2555,389.2209,89.7179,78.0,74.0608,49.8813,52.4508,55.0,0.0388
42-tube,microchannel,50,42.3097,467.0989,91.2527,83.0,75.3998,49.6923,52.6345,45.0,0.0388
42-tube,microchannel,50,49.0757,541.7958,92.4457,83.0,73.2034,49.9241,53.2692,45.0,0.0388
42-tube,microchannel,50,56.467,623.3959,94.2337,83.0,74.9236,49.9772,53.7911,45.0,0.0388
42-tube,microchannel,50,63.0205,695.7458,96.0546,87.0,77.0896,50.0155,54.3527,37.0,0.0388
42-tube,microchannel,50,70.6262,779.713,97.3449,87.0,78.3781,50.0847,54.8986,37.0,0.0388
42-tube,microchannel,50,79.6747,879.6089,98.4926,87.0,78.8462,49.6508,54.9997,37.0,0.0388
42-tube,microchannel,50,87.8138,969.4644,99.8057,90.0,79.3864,49.6768,55.6578,30.0,0.0388
42-tube,microchannel,50,96.717,1067.7557,101.2595,91.0,81.1132,49.9521,56.5885,27.0,0.0388
42-tube,microchannel,50,106.2367,1172.853,103.0529,94.0,82.7327,50.0136,57.3596,20.0,0.0388
42-tube,microchannel,50,116.4133,1285.2028,104.7692,94.0,84.3506,49.8048,57.8778,13.0,0.0388
42-tube,microchannel,50,126.8361,1400.2709,106.1992,96.0,85.3443,50.1885,58.8291,10.0,0.0388
42-tube,microchannel,50,136.8289,1510.591,107.7003,96.0,86.2076,50.0006,59.7458,10.0,0.0388
42-tube,microchannel,50,146.7815,1620.4678,109.5083,98.0,87.9779,50.0956,60.6232,5.0,0.0388
42-tube,microchannel,50,158.5207,1750.0684,110.9281,100.0,89.6417,50.4058,61.8144,0.0,0.0388
