condenser,chip,coolant_setpoint_C,q_Wcm2,Q_W,Tsurf_C,Tsat_C,Tliq_C,Tin_C,Tout_C,P_kPa,flow
42-tube,plain,20,4.6618,51.466,44.1313,49.0,27.6233,20.0021,20.4859,88.0,0.0388
42-tube,plain,20,7.3348,80.9764,47.3447,49.0,28.1601,20.0613,20.7506,88.0,0.0388
42-tube,plain,20,8.8749,97.9784,51.8315,49.0,29.826,20.1139,20.9302,88.0,0.0388
42-tube,plain,20,11.0813,122.3378,56.6171,49.0,33.6708,19.9385,20.9611,88.0,0.0388
42-tube,plain,20,14.7711,163.0733,58.5534,49.0,35.5372,19.927,21.1953,88.0,0.0388
42-tube,plain,20,17.5171,193.3884,63.1764,49.0,39.6429,19.9535,21.4405,88.0,0.0388
42-tube,plain,20,21.7563,240.19,66.3184,54.0,42.0488,20.0036,21.7958,85.0,0.0388
42-tube,plain,20,26.1473,288.6666,67.7911,54.0,46.2246,20.0126,22.0889,85.0,0.0388
42-tube,plain,20,31.0654,342.9621,69.4177,54.0,47.4407,20.0016,22.3692,74.0,0.0388
42-tube,plain,20,36.8827,407.1852,71.6101,54.0,49.2396,19.9889,22.7212,74.0,0.0388
42-tube,plain,20,42.5927,470.223,73.3407,54.0,50.1664,19.9706,22.9998,74.0,0.0388
42-tube,plain,20,48.3703,534.0079,75.2335,54.0,51.1404,20.0078,23.3999,74.0,0.0388
42-tube,plain,20,54.9655,606.8186,77.3462,54.0,52.7842,20.0141,23.8061,74.0,0.0388
42-tube,plain,20,61.2498,676.1979,79.4065,54.0,54.2116,20.0723,24.3131,74.0,0.0388
42-tube,plain,30,3.4264,37.8279,47.3836,49.0,36.2909,30.0875,30.4808,88.0,0.0388
42-tube,plain,30,5.4294,59.9407,57.5535,49.0,42.1361,29.9704,30.4993,88.0,0.0388
42-tube,plain,30,7.6848,84.8401,61.9151,49.0,43.8512,30.0008,30.7009,88.0,0.0388
42-tube,plain,30,10.4055,114.8762,65.822,49.0,46.1562,30.0293,30.9387,88.0,0.0388
42-tube,plain,30,13.8222,152.5968,68.1967,49.0,46.9423,29.9995,31.1265,88.0,0.0388
42-tube,plain,30,16.9865,187.5311,69.6455,49.0,47.4021,30.0856,31.4517,88.0,0.0388
42-tube,plain,30,21.8905,241.6706,71.0519,54.0,48.2394,30.0561,31.682,85.0,0.0388
42-tube,plain,30,26.0207,287.2686,72.7862,58.0,49.3203,30.0592,31.967,81.0,0.0388
42-tube,plain,30,31.3435,346.0321,74.2211,58.0,52.5368,30.071,32.2931,81.0,0.0388
42-tube,plain,30,36.6281,404.3738,75.9376,58.0,54.1224,29.8976,32.417,81.0,0.0388
42-tube,plain,30,42.6865,471.2591,77.8979,62.0,55.6478,29.9483,32.8262,78.0,0.0388
42-tube,plain,30,48.5425,535.909,79.888,65.0,57.5905,29.9352,33.1711,74.0,0.0388
42-tube,plain,30,53.3787,589.3011,82.4528,65.0,58.9234,30.0203,33.6558,74.0,0.0388
42-tube,plain,30,59.2595,654.2252,84.2424,65.0,60.1409,30.0145,34.0623,74.0,0.0388
42-tube,plain,30,64.2417,709.2282,86.0474,65.0,61.1303,29.9928,34.4784,74.0,0.0388
42-tube,plain,30,69.4719,766.9693,87.8431,68.0,62.2107,30.0098,34.9658,71.0,0.0388
42-tube,plain,30,74.4684,822.131,89.7097,70.7,63.3841,29.5951,35.0195,67.0,0.0388
42-tube,plain,40,2.9052,32.0738,66.4889,52.0,56.4269,40.0378,40.1764,82.0,0.0388
42-tube,plain,40,4.4932,49.6055,70.9382,68.0,57.8158,40.0424,40.3485,71.0,0.0388
42-tube,plain,40,6.5759,72.5984,73.3946,68.0,59.8089,39.9619,40.3943,71.0,0.0388
42-tube,plain,40,9.1689,101.225,76.1849,70.6,60.8093,39.9879,40.6196,67.0,0.0388
42-tube,plain,40,12.1568,134.2106,76.8682,70.6,60.0206,39.9759,40.8109,67.0,0.0388
42-tube,plain,40,15.2306,168.1457,80.1515,73.0,61.053,39.9625,41.0691,64.0,0.0388
42-tube,plain,40,18.7917,207.4609,81.6199,73.0,62.7395,39.9867,41.3317,64.0,0.0388
42-tube,plain,40,23.3038,257.2739,83.459,75.0,64.0269,40.0111,41.6401,61.0,0.0388
42-tube,plain,40,28.0169,309.3069,85.6875,75.0,65.2396,40.0387,41.9435,61.0,0.0388
42-tube,plain,40,32.0808,354.1717,88.3229,77.0,66.0778,40.0858,42.3134,57.0,0.0388
42-tube,plain,40,36.8053,406.331,89.3053,77.0,67.276,40.0156,42.6192,57.0,0.0388
42-tube,plain,40,41.5123,458.2957,91.1129,81.0,68.31,40.024,42.9991,50.8,0.0388
42-tube,plain,40,45.9249,507.0106,93.0864,81.0,69.4381,40.2729,43.6086,50.8,0.0388
42-tube,plain,40,50.9974,563.0109,94.8904,83.0,70.7598,40.3085,44.0717,47.0,0.0388
42-tube,plain,40,55.7737,615.7418,97.1617,83.0,72.3252,40.5414,44.7036,47.0,0.0388
42-tube,plain,40,60.4666,667.5516,98.9643,84.0,73.0752,39.9808,44.7455,44.0,0.0388
42-tube,plain,40,65.3323,721.2684,100.8404,84.0,73.8394,39.9812,44.745,44.0,0.0388
42-tube,plain,50,3.2663,36.0601,65.2571,58.0,52.4319,49.991,50.0189,82.0,0.0388
42-tube,plain,50,4.4259,48.8615,72.8464,62.0,55.8442,50.0035,50.2181,78.0,0.0388
42-tube,plain,50,6.282,69.3535,78.6365,62.0,57.8048,50.0163,50.3912,78.0,0.0388
42-tube,plain,50,8.3081,91.7219,81.1111,65.0,57.9256,50.0018,50.5626,74.0,0.0388
42-tube,plain,50,11.5882,127.9336,83.7019,65.0,63.0515,50.0302,50.834,74.0,0.0388
42-tube,plain,50,14.5824,160.9894,85.8079,65.0,64.3514,49.9879,51.0091,74.0,0.0388
42-tube,plain,50,17.7291,195.7297,88.0073,65.0,65.7025,50.0344,51.3276,74.0,0.0388
42-tube,plain,50,21.5577,237.9965,89.2666,68.0,67.7152,49.9746,51.5776,71.0,0.0388
42-tube,plain,50,25.5659,282.2475,90.4358,70.0,68.7485,50.0202,51.9255,67.0,0.0388
42-tube,plain,50,29.9303,330.4307,92.1768,70.0,73.0373,50.0581,52.257,67.0,0.0388
42-tube,plain,50,34.6724,382.7831,94.3807,70.0,74.3849,50.0706,52.6409,67.0,0.0388
42-tube,plain,50,39.1535,432.255,95.8133,73.0,73.0754,50.1176,53.0581,64.0,0.0388
42-tube,plain,50,44.1897,487.8539,97.5053,73.0,74.8397,49.909,53.2688,64.0,0.0388
42-tube,plain,50,49.3071,544.3506,98.9358,73.0,75.5874,49.9378,53.7038,64.0,0.0388
42-tube,plain,50,53.8937,594.9861,101.2004,75.0,78.4848,50.0356,54.2734,61.0,0.0388
42-tube,plain,50,57.8784,638.977,102.7453,77.0,79.4872,50.0705,54.7837,57.0,0.0388
