tube_index,x_mm,y_mm,OD_mm,ID_mm
1,-36.0,-3.7121,2.0,1.6
2,-31.5,-3.7121,2.0,1.6
3,-22.5,-3.7121,2.0,1.6
4,-18.0,-3.7121,2.0,1.6
5,-13.5,-3.7121,2.0,1.6
6,4.5,-3.7121,2.0,1.6
7,-0.0,-3.7121,2.0,1.6
8,-4.5,-3.7121,2.0,1.6
9,13.5,-3.7121,2.0,1.6
10,18.0,-3.7121,2.0,1.6
11,22.5,-3.7121,2.0,1.6
12,36.0,-3.7121,2.0,1.6
13,31.5,-3.7121,2.0,1.6
14,-36.0,1.2879,2.0,1.6
15,31.5,1.2879,2.0,1.6
16,-13.5,1.2879,2.0,1.6
17,-31.5,1.2879,2.0,1.6
18,-18.0,1.2879,2.0,1.6
19,-22.5,1.2879,2.0,1.6
20,-0.0,1.2879,2.0,1.6
21,4.5,1.2879,2.0,1.6
22,-4.5,1.2879,2.0,1.6
23,36.0,1.2879,2.0,1.6
24,18.0,1.2879,2.0,1.6
25,22.5,1.2879,2.0,1.6
26,13.5,1.2879,2.0,1.6
27,-33.75,-1.2121,2.0,1.6
28,-29.25,-1.2121,2.0,1.6
29,-20.25,-1.2121,2.0,1.6
30,-24.75,-1.2121,2.0,1.6
31,-6.75,-1.2121,2.0,1.6
32,-15.75,-1.2121,2.0,1.6
33,-11.25,-1.2121,2.0,1.6
34,-2.25,-1.2121,2.0,1.6
35,33.75,-1.2121,2.0,1.6
36,6.75,-1.2121,2.0,1.6
37,11.25,-1.2121,2.0,1.6
38,15.75,-1.2121,2.0,1.6
39,29.25,-1.2121,2.0,1.6
40,20.25,-1.2121,2.0,1.6
41,24.75,-1.2121,2.0,1.6
42,2.25,-1.2121,2.0,1.6
43,2.25,3.7879,2.0,1.6
44,24.75,3.7879,2.0,1.6
45,20.25,3.7879,2.0,1.6
46,29.25,3.7879,2.0,1.6
47,15.75,3.7879,2.0,1.6
48,11.25,3.7879,2.0,1.6
49,6.75,3.7879,2.0,1.6
50,33.75,3.7879,2.0,1.6
51,-2.25,3.7879,2.0,1.6
52,-11.25,3.7879,2.0,1.6
53,-24.75,3.7879,2.0,1.6
54,-15.75,3.7879,2.0,1.6
55,-6.75,3.7879,2.0,1.6
56,-20.25,3.7879,2.0,1.6
57,-29.25,3.7879,2.0,1.6
58,-33.75,3.7879,2.0,1.6
59,-26.5,-3.2121,2.0,1.6
60,-26.5,0.7879,2.0,1.6
61,-9.5,0.7879,2.0,1.6
62,-9.5,-3.2121,2.0,1.6
63,9.0,0.7879,2.0,1.6
64,9.0,-3.2121,2.0,1.6
65,27.0,0.7879,2.0,1.6
66,27.0,-3.2121,2.0,1.6
